date,portfolio_value,daily_pnl,buy_amount,sell_amount,positions_value
20240109,995696.1062146997,0.0,0.0,0.0,0.0
20240110,995696.1062146997,0.0,0.0,0.0,0.0
20240111,995696.1062146997,0.0,0.0,0.0,0.0
20240112,995696.1062146997,0.0,0.0,0.0,0.0
20240115,995696.1062146997,0.0,0.0,0.0,0.0
20240116,995696.1062146997,0.0,0.0,0.0,0.0
20240117,995696.1062146997,0.0,0.0,0.0,0.0
20240118,995696.1062146997,0.0,0.0,0.0,0.0
20240119,995696.1062146997,0.0,0.0,0.0,0.0
20240122,995696.1062146997,0.0,0.0,0.0,0.0
20240123,995696.1062146997,0.0,0.0,0.0,0.0
20240124,995696.1062146997,0.0,0.0,0.0,0.0
20240125,995696.1062146997,0.0,0.0,0.0,0.0
20240126,995696.1062146997,0.0,0.0,0.0,0.0
20240129,995696.1062146997,0.0,0.0,0.0,0.0
20240130,995696.1062146997,0.0,0.0,0.0,0.0
20240131,995696.1062146997,0.0,0.0,0.0,0.0
20240201,995696.1062146997,0.0,0.0,0.0,0.0
20240202,995696.1062146997,0.0,0.0,0.0,0.0
20240205,995696.1062146997,0.0,0.0,0.0,0.0
20240206,995696.1062146997,0.0,0.0,0.0,0.0
20240207,995696.1062146997,0.0,0.0,0.0,0.0
20240208,995696.1062146997,0.0,0.0,0.0,0.0
20240219,995696.1062146997,0.0,0.0,0.0,0.0
20240220,995696.1062146997,0.0,0.0,0.0,0.0
20240221,995696.1062146997,0.0,0.0,0.0,0.0
20240222,995696.1062146997,0.0,0.0,0.0,0.0
20240223,995696.1062146997,0.0,0.0,0.0,0.0
20240226,995696.1062146997,0.0,0.0,0.0,0.0
20240227,995696.1062146997,0.0,0.0,0.0,0.0
20240228,995696.1062146997,0.0,0.0,0.0,0.0
20240229,995696.1062146997,0.0,0.0,0.0,0.0
20240301,995696.1062146997,0.0,0.0,0.0,0.0
20240304,995696.1062146997,0.0,0.0,0.0,0.0
20240305,995696.1062146997,0.0,0.0,0.0,0.0
20240306,995696.1062146997,0.0,0.0,0.0,0.0
20240307,995696.1062146997,0.0,0.0,0.0,0.0
20240308,995696.1062146997,0.0,0.0,0.0,0.0
20240311,995696.1062146997,0.0,0.0,0.0,0.0
20240312,995696.1062146997,0.0,0.0,0.0,0.0
20240313,995696.1062146997,0.0,0.0,0.0,0.0
20240314,995696.1062146997,0.0,0.0,0.0,0.0
20240315,995696.1062146997,0.0,0.0,0.0,0.0
20240318,995696.1062146997,0.0,0.0,0.0,0.0
