date,stock_code,name,amount,market_value,cost_basis
20220701,000651.SZ,格力电器,300,10035.0,32.09
20220701,601318.SS,中国平安,200,9262.0,46.25
20220704,000651.SZ,格力电器,300,10092.0,32.09
20220704,601318.SS,中国平安,200,9292.0,46.25
20220705,000651.SZ,格力电器,300,9951.0,32.09
20220705,601318.SS,中国平安,200,9322.0,46.25
20220706,000651.SZ,格力电器,300,9843.0,32.09
20220706,601318.SS,中国平安,200,9170.0,46.25
20220707,000651.SZ,格力电器,300,9867.0,32.09
20220707,601318.SS,中国平安,200,9120.0,46.25
20220708,000651.SZ,格力电器,300,10020.0,32.09
20220708,601318.SS,中国平安,200,9164.0,46.25
20220708,600036.SS,招商银行,200,7962.0,39.84
20220711,000651.SZ,格力电器,300,10197.0,32.09
20220711,601318.SS,中国平安,200,9076.0,46.25
20220711,600036.SS,招商银行,200,7888.0,39.84
20220712,000651.SZ,格力电器,300,10479.0,32.09
20220712,601318.SS,中国平安,200,9102.0,46.25
20220712,600036.SS,招商银行,200,7860.0,39.84
20220713,000651.SZ,格力电器,300,10491.0,32.09
20220713,601318.SS,中国平安,200,9016.0,46.25
20220713,600036.SS,招商银行,200,7580.0,39.84
20220714,000651.SZ,格力电器,300,10254.0,32.09
20220714,601318.SS,中国平安,200,8720.0,46.25
20220714,600036.SS,招商银行,200,7296.0,39.84
20220715,000651.SZ,格力电器,300,10110.0,32.09
20220715,601318.SS,中国平安,200,8542.0,46.25
20220715,600036.SS,招商银行,200,6974.0,39.84
20220718,000651.SZ,格力电器,300,10290.0,32.09
20220718,601318.SS,中国平安,200,8690.0,46.25
20220718,600036.SS,招商银行,200,7126.0,39.84
20220719,000651.SZ,格力电器,300,10224.0,32.09
20220719,601318.SS,中国平安,200,8680.0,46.25
20220719,600036.SS,招商银行,200,7142.0,39.84
20220720,000651.SZ,格力电器,300,10233.0,32.09
20220720,601318.SS,中国平安,200,8680.0,46.25
20220720,600036.SS,招商银行,200,7170.0,39.84
20220721,000651.SZ,格力电器,300,10185.0,32.09
20220721,601318.SS,中国平安,200,8548.0,46.25
20220721,600036.SS,招商银行,200,7092.0,39.84
20220722,000651.SZ,格力电器,300,10182.0,32.09
20220722,601318.SS,中国平安,200,8610.0,46.25
20220722,600036.SS,招商银行,200,7118.0,39.84
20220725,000651.SZ,格力电器,300,10269.0,32.09
20220725,601318.SS,中国平安,200,8584.0,46.25
20220725,600036.SS,招商银行,200,7170.0,39.84
20220726,000651.SZ,格力电器,300,10239.0,32.09
20220726,601318.SS,中国平安,200,8640.0,46.25
20220726,600036.SS,招商银行,200,7266.0,39.84
20220727,000651.SZ,格力电器,300,10023.0,32.09
20220727,601318.SS,中国平安,200,8558.0,46.25
20220727,600036.SS,招商银行,200,7210.0,39.84
20220728,000651.SZ,格力电器,300,9993.0,32.09
20220728,601318.SS,中国平安,200,8544.0,46.25
20220728,600036.SS,招商银行,200,7156.0,39.84
20220729,000651.SZ,格力电器,300,9978.0,32.09
20220729,601318.SS,中国平安,200,8424.0,46.25
20220729,600036.SS,招商银行,200,7014.0,39.84
20220801,000651.SZ,格力电器,300,9903.0,32.09
