event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
000651SZ_2022-09-28T000000_BUY_SETUP_PERFECT_1_2022-09-28T000000_9,2022-09-28 00:00:00,000651.SZ,BUY_SETUP_PERFECT,1,60,2022-12-28 00:00:00,24.68,24.25,-0.01742301,0.0445705,-0.18273906
000651SZ_2022-09-28T000000_SELL_COUNTDOWN_CANCEL_-1_2022-09-08T000000_3,2022-09-28 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,60,2022-12-28 00:00:00,24.68,24.25,0.01742301,0.18273906,-0.0445705
600036SS_2022-09-29T000000_BUY_SETUP_PERFECT_1_2022-09-29T000000_9,2022-09-29 00:00:00,600036.SS,BUY_SETUP_PERFECT,1,60,2022-12-29 00:00:00,26.43,30.51,0.15437003,0.16534241,-0.25917518
600036SS_2022-07-07T000000_BUY_COUNTDOWN_COMPLETE_1_2022-04-28T000000_13,2022-07-07 00:00:00,600036.SS,BUY_COUNTDOWN_COMPLETE,1,120,2022-12-30 00:00:00,31.51,30.54,-0.03078388,0.0149159,-0.37860997
601318SS_2022-07-12T000000_BUY_SETUP_PERFECT_1_2022-07-12T000000_9,2022-07-12 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,120,2023-01-05 00:00:00,37.24,41.57,0.11627282,0.13157895,-0.23361976
000651SZ_2022-12-07T000000_SELL_SETUP_PERFECT_-1_2022-12-07T000000_9,2022-12-07 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,20,2023-01-05 00:00:00,24.8,25.88,-0.04354839,0.04475806,-0.05362903
600519SS_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,600519.SS,SELL_SETUP_PERFECT,-1,20,2023-01-09 00:00:00,1556.75,1689.86,-0.08550506,0.0305444,-0.09114501
000858SZ_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,000858.SZ,SELL_SETUP_PERFECT,-1,20,2023-01-09 00:00:00,166.49,179.1,-0.07574028,0.08042525,-0.08180672
601318SS_2022-12-09T000000_SELL_SETUP_PERFECT_-1_2022-12-09T000000_9,2022-12-09 00:00:00,601318.SS,SELL_SETUP_PERFECT,-1,20,2023-01-09 00:00:00,40.24,43.55,-0.08225646,0.0750497,-0.0832505
601318SS_2022-12-09T000000_SELL_COUNTDOWN_CANCEL_-1_2022-11-15T000000_8,2022-12-09 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,20,2023-01-09 00:00:00,40.24,43.55,-0.08225646,0.0750497,-0.0832505
600036SS_2022-07-14T000000_BUY_SETUP_PERFECT_1_2022-07-14T000000_9,2022-07-14 00:00:00,600036.SS,BUY_SETUP_PERFECT,1,120,2023-01-09 00:00:00,28.24,32.08,0.13597734,0.1526204,-0.30665722
