event_id,datetime,security,frequency,category,type,direction,count,perfect,reason,setup_type,setup_perfect,setup_first_dt,setup_last_dt,setup_highest_high,tdst_threshold,countdown_start_dt,count_1_dt,count_2_dt,count_3_dt,count_4_dt,count_5_dt,count_6_dt,count_7_dt,count_8_dt,countdown_8_close,count_9_dt,count_10_dt,count_11_dt,count_12_dt,count_13_dt,countdown_low_dt,countdown_low,countdown_low_bar_high,bar_close,bar_high,bar_low,pre20_avg_amount,pre20_volatility,pre20_return
600036SS_2023-03-13T000000_BUY_COUNTDOWN_PROGRESS_1_2023-02-13T000000_12,2023-03-13 00:00:00,600036.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,12,,,BUY_SETUP,True,2023-02-01 00:00:00,2023-02-13 00:00:00,34.97,34.97,2023-02-13 00:00:00,2023-02-13 00:00:00,2023-02-16 00:00:00,2023-02-17 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-02-28 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,29.84,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,2023-03-13 00:00:00,,2023-03-13 00:00:00,27.99,28.66,28.33,28.66,27.99,2108458450.5,0.021593,-0.094309
000651SZ_2023-03-13T000000_SELL_COUNTDOWN_PROGRESS_-1_2023-03-02T000000_4,2023-03-13 00:00:00,000651.SZ,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,4,,,SELL_SETUP,True,2023-02-20 00:00:00,2023-03-02 00:00:00,29.58,25.66,2023-03-02 00:00:00,2023-03-02 00:00:00,2023-03-03 00:00:00,2023-03-06 00:00:00,2023-03-13 00:00:00,,,,,,,,,,,2023-03-13 00:00:00,28.21,29.8,29.79,29.8,28.21,1482173729.5,0.023718,0.121611
601318SS_2023-03-14T000000_BUY_COUNTDOWN_PROGRESS_1_2023-02-09T000000_9,2023-03-14 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,9,,,BUY_SETUP,False,2023-01-30 00:00:00,2023-02-09 00:00:00,46.24,46.24,2023-02-09 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,38.64,2023-03-14 00:00:00,,,,,2023-03-14 00:00:00,38.03,38.86,38.1,38.86,38.03,2378722865.0,0.019103,-0.08237
600036SS_2023-03-14T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2023-02-13T000000_13,2023-03-14 00:00:00,600036.SS,1d,COUNTDOWN,BUY_COUNTDOWN_COMPLETE_PERFECT,1,13,True,,BUY_SETUP,True,2023-02-01 00:00:00,2023-02-13 00:00:00,34.97,34.97,2023-02-13 00:00:00,2023-02-13 00:00:00,2023-02-16 00:00:00,2023-02-17 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-02-28 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,29.84,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,2023-03-13 00:00:00,2023-03-14 00:00:00,2023-03-14 00:00:00,27.62,28.21,27.86,28.21,27.62,2125064135.5,0.02118,-0.085057
000651SZ_2023-03-14T000000_SELL_COUNTDOWN_PROGRESS_-1_2023-03-02T000000_5,2023-03-14 00:00:00,000651.SZ,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,5,,,SELL_SETUP,True,2023-02-20 00:00:00,2023-03-02 00:00:00,29.58,25.66,2023-03-02 00:00:00,2023-03-02 00:00:00,2023-03-03 00:00:00,2023-03-06 00:00:00,2023-03-13 00:00:00,2023-03-14 00:00:00,,,,,,,,,,2023-03-13 00:00:00,28.21,29.8,29.62,30.28,29.27,1562158585.0,0.023485,0.129241
000651SZ_2023-03-15T000000_SELL_COUNTDOWN_PROGRESS_-1_2023-03-02T000000_6,2023-03-15 00:00:00,000651.SZ,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,6,,,SELL_SETUP,True,2023-02-20 00:00:00,2023-03-02 00:00:00,29.58,25.66,2023-03-02 00:00:00,2023-03-02 00:00:00,2023-03-03 00:00:00,2023-03-06 00:00:00,2023-03-13 00:00:00,2023-03-14 00:00:00,2023-03-15 00:00:00,,,,,,,,,2023-03-13 00:00:00,28.21,29.8,30.13,30.33,29.6,1602185911.0,0.023023,0.166022
601318SS_2023-03-16T000000_BUY_COUNTDOWN_PROGRESS_1_2023-02-09T000000_10,2023-03-16 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,10,,,BUY_SETUP,False,2023-01-30 00:00:00,2023-02-09 00:00:00,46.24,46.24,2023-02-09 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,38.64,2023-03-14 00:00:00,2023-03-16 00:00:00,,,,2023-03-16 00:00:00,37.39,38.47,37.87,38.47,37.39,2403509515.0,0.01955,-0.086149
600036SS_2023-03-16T000000_BUY_SETUP_PERFECT_1_2023-03-16T000000_9,2023-03-16 00:00:00,600036.SS,1d,SETUP,BUY_SETUP_PERFECT,1,9,True,,BUY_SETUP,True,2023-03-06 00:00:00,2023-03-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2047885370.5,0.021151,-0.06869
600519SS_2023-03-17T000000_BUY_COUNTDOWN_PROGRESS_1_2023-02-07T000000_9,2023-03-17 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,9,,,BUY_SETUP,True,2023-01-19 00:00:00,2023-02-07 00:00:00,1757.67,1757.67,2023-02-07 00:00:00,2023-02-17 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,1598.67,2023-03-17 00:00:00,,,,,2023-03-17 00:00:00,1584.67,1624.56,1590.67,1624.56,1584.67,3952152530.0,0.009109,-0.077161
000858SZ_2023-03-17T000000_BUY_SETUP_PERFECT_1_2023-03-17T000000_9,2023-03-17 00:00:00,000858.SZ,1d,SETUP,BUY_SETUP_PERFECT,1,9,True,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2708312555.0,0.012319,-0.12463
000858SZ_2023-03-17T000000_SELL_COUNTDOWN_CANCEL_-1_2023-01-17T000000_7,2023-03-17 00:00:00,000858.SZ,1d,COUNTDOWN,SELL_COUNTDOWN_CANCEL,-1,7,,opposite_setup,SELL_SETUP,True,2023-01-05 00:00:00,2023-01-17 00:00:00,192.5,163.63,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-30 00:00:00,2023-02-09 00:00:00,2023-02-10 00:00:00,2023-02-13 00:00:00,2023-02-14 00:00:00,2023-03-01 00:00:00,,,,,,,,2023-02-09 00:00:00,182.78,190.97,171.73,177.47,171.23,2708312555.0,0.012319,-0.12463
000858SZ_2023-03-17T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_1,2023-03-17 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,1,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,187.58,187.58,2023-03-17 00:00:00,2023-03-17 00:00:00,,,,,,,,,,,,,,2023-03-17 00:00:00,171.23,177.47,171.73,177.47,171.23,2708312555.0,0.012319,-0.12463
601318SS_2023-03-17T000000_BUY_SETUP_PERFECT_1_2023-03-17T000000_9,2023-03-17 00:00:00,601318.SS,1d,SETUP,BUY_SETUP_PERFECT,1,9,True,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2520907915.0,0.019369,-0.088049
601318SS_2023-03-17T000000_BUY_COUNTDOWN_CANCEL_1_2023-02-09T000000_10,2023-03-17 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_CANCEL,1,10,,same_setup,BUY_SETUP,False,2023-01-30 00:00:00,2023-02-09 00:00:00,46.24,46.24,2023-02-09 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,38.64,2023-03-14 00:00:00,2023-03-16 00:00:00,,,,2023-03-16 00:00:00,37.39,38.47,38.84,39.6,38.45,2520907915.0,0.019369,-0.088049
600036SS_2023-03-17T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-16T000000_1,2023-03-17 00:00:00,600036.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,1,,,BUY_SETUP,True,2023-03-06 00:00:00,2023-03-16 00:00:00,31.51,31.51,2023-03-16 00:00:00,2023-03-17 00:00:00,,,,,,,,,,,,,,2023-03-17 00:00:00,27.3,28.65,27.64,28.65,27.3,2086010120.5,0.01511,-0.129997
600519SS_2023-03-20T000000_BUY_COUNTDOWN_PROGRESS_1_2023-02-07T000000_10,2023-03-20 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,10,,,BUY_SETUP,True,2023-01-19 00:00:00,2023-02-07 00:00:00,1757.67,1757.67,2023-02-07 00:00:00,2023-02-17 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,1598.67,2023-03-17 00:00:00,2023-03-20 00:00:00,,,,2023-03-20 00:00:00,1576.67,1603.67,1578.27,1603.67,1576.67,3855606125.0,0.009145,-0.080085
000858SZ_2023-03-20T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_2,2023-03-20 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,2,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,187.58,187.58,2023-03-17 00:00:00,2023-03-17 00:00:00,2023-03-20 00:00:00,,,,,,,,,,,,,2023-03-20 00:00:00,168.23,173.82,169.13,173.82,168.23,2651559185.0,0.012336,-0.125084
600036SS_2023-03-20T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-16T000000_2,2023-03-20 00:00:00,600036.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,2,,,BUY_SETUP,True,2023-03-06 00:00:00,2023-03-16 00:00:00,31.51,31.51,2023-03-16 00:00:00,2023-03-17 00:00:00,2023-03-20 00:00:00,,,,,,,,,,,,,2023-03-17 00:00:00,27.3,28.65,27.4,28.19,27.3,1971054130.5,0.014773,-0.142947
601318SS_2023-03-24T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_1,2023-03-24 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,1,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,41.84,41.84,2023-03-17 00:00:00,2023-03-24 00:00:00,,,,,,,,,,,,,,2023-03-24 00:00:00,38.7,39.44,38.84,39.44,38.7,2564639355.0,0.019935,-0.039565
601318SS_2023-03-27T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_2,2023-03-27 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,2,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,41.84,41.84,2023-03-17 00:00:00,2023-03-24 00:00:00,2023-03-27 00:00:00,,,,,,,,,,,,,2023-03-27 00:00:00,38.14,38.97,38.63,38.97,38.14,2535355220.0,0.019749,-0.054114
600036SS_2023-03-27T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-16T000000_3,2023-03-27 00:00:00,600036.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,3,,,BUY_SETUP,True,2023-03-06 00:00:00,2023-03-16 00:00:00,31.51,31.51,2023-03-16 00:00:00,2023-03-17 00:00:00,2023-03-20 00:00:00,2023-03-27 00:00:00,,,,,,,,,,,,2023-03-17 00:00:00,27.3,28.65,27.49,27.88,27.33,1970840238.5,0.016577,-0.10134
601318SS_2023-03-28T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_3,2023-03-28 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,3,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,41.84,41.84,2023-03-17 00:00:00,2023-03-24 00:00:00,2023-03-27 00:00:00,2023-03-28 00:00:00,,,,,,,,,,,,2023-03-27 00:00:00,38.14,38.97,38.52,39.02,38.32,2509231175.0,0.016429,-0.096411
601318SS_2023-03-29T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_4,2023-03-29 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,4,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,41.84,41.84,2023-03-17 00:00:00,2023-03-24 00:00:00,2023-03-27 00:00:00,2023-03-28 00:00:00,2023-03-29 00:00:00,,,,,,,,,,,2023-03-29 00:00:00,38.04,39.22,38.06,39.22,38.04,2423812210.0,0.016314,-0.111578
601318SS_2023-03-30T000000_BUY_COUNTDOWN_PROGRESS_1_2023-03-17T000000_5,2023-03-30 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,5,,,BUY_SETUP,True,2023-03-07 00:00:00,2023-03-17 00:00:00,41.84,41.84,2023-03-17 00:00:00,2023-03-24 00:00:00,2023-03-27 00:00:00,2023-03-28 00:00:00,2023-03-29 00:00:00,2023-03-30 00:00:00,,,,,,,,,,2023-03-30 00:00:00,37.58,38.34,38.12,38.34,37.58,2430150575.0,0.016307,-0.111836
000651SZ_2023-03-30T000000_SELL_COUNTDOWN_PROGRESS_-1_2023-03-02T000000_7,2023-03-30 00:00:00,000651.SZ,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,7,,,SELL_SETUP,True,2023-02-20 00:00:00,2023-03-02 00:00:00,29.58,25.66,2023-03-02 00:00:00,2023-03-02 00:00:00,2023-03-03 00:00:00,2023-03-06 00:00:00,2023-03-13 00:00:00,2023-03-14 00:00:00,2023-03-15 00:00:00,2023-03-30 00:00:00,,,,,,,,2023-03-13 00:00:00,28.21,29.8,29.91,30.22,28.51,1387677372.0,0.019886,0.008769
