日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2022-07-01,15:30:00,601318.SS,46.310,200,多,45.059,9262.000,250.140
2022-07-04,15:30:00,000651.SZ,33.640,300,多,31.339,10092.000,690.180
2022-07-04,15:30:00,601318.SS,46.460,200,多,45.059,9292.000,280.140
2022-07-05,15:30:00,000651.SZ,33.170,300,多,31.339,9951.000,549.180
2022-07-05,15:30:00,601318.SS,46.610,200,多,45.059,9322.000,310.140
2022-07-06,15:30:00,000651.SZ,32.810,300,多,31.339,9843.000,441.180
2022-07-06,15:30:00,601318.SS,45.850,200,多,45.059,9170.000,158.140
2022-07-07,15:30:00,000651.SZ,32.890,300,多,31.339,9867.000,465.180
2022-07-07,15:30:00,601318.SS,45.600,200,多,45.059,9120.000,108.140
2022-07-08,15:30:00,000651.SZ,33.400,300,多,31.339,10020.000,618.180
2022-07-08,15:30:00,601318.SS,45.820,200,多,45.059,9164.000,152.140
2022-07-08,15:30:00,600036.SS,39.810,200,多,39.837,7962.000,-5.380
2022-07-11,15:30:00,000651.SZ,33.990,300,多,31.339,10197.000,795.180
2022-07-11,15:30:00,601318.SS,45.380,200,多,45.059,9076.000,64.140
2022-07-11,15:30:00,600036.SS,39.440,200,多,39.837,7888.000,-79.380
2022-07-12,15:30:00,000651.SZ,34.930,300,多,31.339,10479.000,1077.180
2022-07-12,15:30:00,601318.SS,45.510,200,多,45.059,9102.000,90.140
2022-07-12,15:30:00,600036.SS,39.300,200,多,39.837,7860.000,-107.380
2022-07-13,15:30:00,000651.SZ,34.970,300,多,31.339,10491.000,1089.180
2022-07-13,15:30:00,601318.SS,45.080,200,多,45.059,9016.000,4.140
2022-07-13,15:30:00,600036.SS,37.900,200,多,39.837,7580.000,-387.380
2022-07-14,15:30:00,000651.SZ,34.180,300,多,31.339,10254.000,852.180
2022-07-14,15:30:00,601318.SS,43.600,200,多,45.059,8720.000,-291.860
2022-07-14,15:30:00,600036.SS,36.480,200,多,39.837,7296.000,-671.380
2022-07-15,15:30:00,000651.SZ,33.700,300,多,31.339,10110.000,708.180
2022-07-15,15:30:00,601318.SS,42.710,200,多,45.059,8542.000,-469.860
2022-07-15,15:30:00,600036.SS,34.870,200,多,38.619,6974.000,-749.860
2022-07-18,15:30:00,000651.SZ,34.300,300,多,31.339,10290.000,888.180
2022-07-18,15:30:00,601318.SS,43.450,200,多,45.059,8690.000,-321.860
2022-07-18,15:30:00,600036.SS,35.630,200,多,38.619,7126.000,-597.860
2022-07-19,15:30:00,000651.SZ,34.080,300,多,31.339,10224.000,822.180
2022-07-19,15:30:00,601318.SS,43.400,200,多,45.059,8680.000,-331.860
2022-07-19,15:30:00,600036.SS,35.710,200,多,38.619,7142.000,-581.860
2022-07-20,15:30:00,000651.SZ,34.110,300,多,31.339,10233.000,831.180
2022-07-20,15:30:00,601318.SS,43.400,200,多,45.059,8680.000,-331.860
2022-07-20,15:30:00,600036.SS,35.850,200,多,38.619,7170.000,-553.860
2022-07-21,15:30:00,000651.SZ,33.950,300,多,31.339,10185.000,783.180
2022-07-21,15:30:00,601318.SS,42.740,200,多,45.059,8548.000,-463.860
2022-07-21,15:30:00,600036.SS,35.460,200,多,38.619,7092.000,-631.860
2022-07-22,15:30:00,000651.SZ,33.940,300,多,31.339,10182.000,780.180
2022-07-22,15:30:00,601318.SS,43.050,200,多,45.059,8610.000,-401.860
2022-07-22,15:30:00,600036.SS,35.590,200,多,38.619,7118.000,-605.860
2022-07-25,15:30:00,000651.SZ,34.230,300,多,31.339,10269.000,867.180
2022-07-25,15:30:00,601318.SS,42.920,200,多,45.059,8584.000,-427.860
2022-07-25,15:30:00,600036.SS,35.850,200,多,38.619,7170.000,-553.860
2022-07-26,15:30:00,000651.SZ,34.130,300,多,31.339,10239.000,837.180
2022-07-26,15:30:00,601318.SS,43.200,200,多,45.059,8640.000,-371.860
2022-07-26,15:30:00,600036.SS,36.330,200,多,38.619,7266.000,-457.860
2022-07-27,15:30:00,000651.SZ,33.410,300,多,31.339,10023.000,621.180
2022-07-27,15:30:00,601318.SS,42.790,200,多,45.059,8558.000,-453.860
2022-07-27,15:30:00,600036.SS,36.050,200,多,38.619,7210.000,-513.860
2022-07-28,15:30:00,000651.SZ,33.310,300,多,31.339,9993.000,591.180
2022-07-28,15:30:00,601318.SS,42.720,200,多,45.059,8544.000,-467.860
2022-07-28,15:30:00,600036.SS,35.780,200,多,38.619,7156.000,-567.860
2022-07-29,15:30:00,000651.SZ,33.260,300,多,31.339,9978.000,576.180
2022-07-29,15:30:00,601318.SS,42.120,200,多,45.059,8424.000,-587.860
2022-07-29,15:30:00,600036.SS,35.070,200,多,38.619,7014.000,-709.860
2022-08-01,15:30:00,000651.SZ,33.010,300,多,31.339,9903.000,501.180
2022-08-01,15:30:00,601318.SS,41.840,200,多,45.059,8368.000,-643.860
2022-08-01,15:30:00,600036.SS,34.520,200,多,38.619,6904.000,-819.860
2022-08-02,15:30:00,000651.SZ,31.860,300,多,31.339,9558.000,156.180
2022-08-02,15:30:00,601318.SS,41.170,200,多,45.059,8234.000,-777.860
2022-08-02,15:30:00,600036.SS,33.910,200,多,38.619,6782.000,-941.860
2022-08-03,15:30:00,000651.SZ,31.820,300,多,31.339,9546.000,144.180
2022-08-03,15:30:00,601318.SS,40.830,200,多,45.059,8166.000,-845.860
2022-08-03,15:30:00,600036.SS,33.060,200,多,38.619,6612.000,-1111.860
2022-08-04,15:30:00,000651.SZ,32.160,300,多,31.339,9648.000,246.180
2022-08-04,15:30:00,601318.SS,41.080,200,多,45.059,8216.000,-795.860
2022-08-04,15:30:00,600036.SS,33.660,200,多,38.619,6732.000,-991.860
2022-08-05,15:30:00,000651.SZ,30.730,300,多,29.767,9219.000,289.020
2022-08-05,15:30:00,601318.SS,41.540,200,多,45.059,8308.000,-703.860
2022-08-05,15:30:00,600036.SS,34.300,200,多,38.619,6860.000,-863.860
2022-08-08,15:30:00,000651.SZ,30.550,300,多,29.767,9165.000,235.020
2022-08-08,15:30:00,601318.SS,41.180,200,多,45.059,8236.000,-775.860
2022-08-08,15:30:00,600036.SS,33.910,200,多,38.619,6782.000,-941.860
2022-08-09,15:30:00,000651.SZ,30.610,300,多,29.767,9183.000,253.020
2022-08-09,15:30:00,601318.SS,40.960,200,多,45.059,8192.000,-819.860
2022-08-09,15:30:00,600036.SS,33.600,200,多,38.619,6720.000,-1003.860
2022-08-10,15:30:00,000651.SZ,30.420,300,多,29.767,9126.000,196.020
