event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
000651SZ_2023-08-15T000000_BUY_SETUP_PERFECT_1_2023-08-15T000000_9,2023-08-15 00:00:00,000651.SZ,BUY_SETUP_PERFECT,1,120,2024-02-08 00:00:00,29.42,29.82,0.01359619,0.05404487,-0.16859279
000651SZ_2023-08-15T000000_SELL_COUNTDOWN_CANCEL_-1_2023-06-14T000000_11,2023-08-15 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,120,2024-02-08 00:00:00,29.42,29.82,-0.01359619,0.16859279,-0.05404487
601318SS_2023-08-16T000000_BUY_SETUP_PERFECT_1_2023-08-16T000000_9,2023-08-16 00:00:00,601318.SS,BUY_SETUP_PERFECT,1,120,2024-02-19 00:00:00,42.47,37.77,-0.11066635,0.08358842,-0.23098658
000651SZ_2023-11-17T000000_BUY_SETUP_1_2023-11-17T000000_9,2023-11-17 00:00:00,000651.SZ,BUY_SETUP,1,60,2024-02-20 00:00:00,26.18,31.64,0.20855615,0.21008403,-0.06569901
000651SZ_2023-11-17T000000_BUY_COUNTDOWN_CANCEL_1_2023-10-18T000000_9,2023-11-17 00:00:00,000651.SZ,BUY_COUNTDOWN_CANCEL,1,60,2024-02-20 00:00:00,26.18,31.64,0.20855615,0.21008403,-0.06569901
000651SZ_2024-02-05T000000_SELL_SETUP_PERFECT_-1_2024-02-05T000000_9,2024-02-05 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,5,2024-02-20 00:00:00,29.76,31.64,-0.06317204,0.02049731,-0.06451613
000651SZ_2024-02-05T000000_SELL_COUNTDOWN_CANCEL_-1_2024-01-17T000000_4,2024-02-05 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,5,2024-02-20 00:00:00,29.76,31.64,-0.06317204,0.02049731,-0.06451613
600519SS_2024-01-16T000000_BUY_SETUP_PERFECT_1_2024-01-16T000000_9,2024-01-16 00:00:00,600519.SS,BUY_SETUP_PERFECT,1,20,2024-02-21 00:00:00,1533.12,1611.35,0.05102666,0.06424807,-0.05471196
000651SZ_2024-01-16T000000_BUY_COUNTDOWN_CANCEL_1_2023-11-17T000000_6,2024-01-16 00:00:00,000651.SZ,BUY_COUNTDOWN_CANCEL,1,20,2024-02-21 00:00:00,27.79,31.55,0.13530047,0.15257287,-0.04965815
600519SS_2024-02-07T000000_BUY_COUNTDOWN_CANCEL_1_2024-01-16T000000_5,2024-02-07 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,5,2024-02-22 00:00:00,1604.68,1612.07,0.00460528,0.01678839,-0.03391954
000858SZ_2024-01-17T000000_BUY_COUNTDOWN_COMPLETE_PERFECT_1_2023-11-30T000000_13,2024-01-17 00:00:00,000858.SZ,BUY_COUNTDOWN_COMPLETE_PERFECT,1,20,2024-02-22 00:00:00,112.15,128.11,0.14230941,0.15639768,-0.0230049
600036SS_2023-08-21T000000_BUY_SETUP_PERFECT_1_2023-08-21T000000_9,2023-08-21 00:00:00,600036.SS,BUY_SETUP_PERFECT,1,120,2024-02-22 00:00:00,26.15,27.82,0.06386233,0.10707457,-0.16175908
600036SS_2024-01-17T000000_SELL_SETUP_PERFECT_-1_2024-01-17T000000_9,2024-01-17 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,20,2024-02-22 00:00:00,24.21,27.82,-0.14911194,0.0243701,-0.17348203
600036SS_2024-01-17T000000_BUY_COUNTDOWN_CANCEL_1_2023-12-01T000000_8,2024-01-17 00:00:00,600036.SS,BUY_COUNTDOWN_CANCEL,1,20,2024-02-22 00:00:00,24.21,27.82,0.14911194,0.17348203,-0.0243701
000651SZ_2024-01-17T000000_SELL_SETUP_PERFECT_-1_2024-01-17T000000_9,2024-01-17 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,20,2024-02-22 00:00:00,27.35,31.96,-0.16855576,0.03436929,-0.17111517
