datetime,event,security,trade_id,open_trade_count,buy_order_id,buy_quantity,buy_price,buy_commission,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_reason,pnl,total_value,available_cash
2023-11-13 15:00:00,CLOSE,600036.SS,19,2,5f6adefb622d450b948b11dc82a17b6e,300.0,32.52,5.4751,9756.0,25.28,43.38,cb05c9e72c024c31803ae97cb50ee2e0,29.82,14.3817,STOP_LOSS,-829.86,996449.7315371997,981539.7315371997
2023-11-28 15:00:00,CLOSE,600036.SS,17,1,5ca26417777b467db0e63f9776815891,200.0,34.04,5.3315,6808.0,24.57,48.245,8d56e43d20c045209da6796f120cb1a4,29.16,11.116,STOP_LOSS,-714.37,996108.6155187998,987360.6155187998
2023-12-07 15:00:00,CLOSE,600036.SS,14,0,37827918514c42dcbf33727efbf789f0,300.0,28.19,5.4119,8457.0,18.75,42.35,b3f8e66b41a946148826a14e0c25b334,27.81,13.7493,MAX_HOLDING_DAYS,283.96,995689.8662146997,995689.8662146997
2024-07-26 15:00:00,OPEN,601318.SS,20,1,14150be7669246e2b56cd92cb8f1b5e8,200,41.09,5.4002,8218.0,35.04,50.165,,,,,,995689.8662146997,995689.8662146997
2024-08-08 15:00:00,OPEN,000651.SZ,21,1,1dc0e025749f4157894208898d67658b,200,40.48,5.3943,8096.0,29.59,56.815,,,,,,995689.8662146997,995689.8662146997
2024-10-08 15:00:00,CLOSE,601318.SS,20,0,14150be7669246e2b56cd92cb8f1b5e8,200.0,41.09,5.4002,8218.0,35.04,50.165,6ad432f87c68495f952ce12549ea0631,61.73,17.9473,PROFIT_TARGET,4104.65,1002366.4044726997,992066.4044726997
2025-04-22 15:00:00,CLOSE,000651.SZ,21,0,1dc0e025749f4157894208898d67658b,200.0,40.48,5.3943,8096.0,29.59,56.815,46179b964cc8460fb050b741e8bf6d61,45.55,14.5537,TREND_REVERSAL,1367.33,1001161.8508156998,1001161.8508156998
2025-10-10 15:00:00,OPEN,600036.SS,22,1,4ab7061618854b8d8d5e10c3cc443cb3,200,40.18,5.3914,8036.0,38.19,43.165,,,,,,1001161.8508156998,1001161.8508156998
2025-12-22 15:00:00,CLOSE,600036.SS,22,0,4ab7061618854b8d8d5e10c3cc443cb3,200.0,40.18,5.3914,8036.0,38.19,43.165,0fd36ca00c3e4e0ab262f28fbc86cb33,41.77,13.7608,TREND_REVERSAL,298.85,1001460.6986226998,1001460.6986226998
2025-12-31 15:00:00,OPEN,000651.SZ,23,1,c5fe248e5e5041f492eae6a91bd26f1a,200,40.22,5.3917,8044.0,37.56,44.21,,,,,,1001460.6986226998,1001460.6986226998
