datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2022-10-11 15:00:00,600036.SS,2022-04-28 00:00:00,False,37.72,2022-05-06 00:00:00,2022-05-09 00:00:00,2022-05-10 00:00:00,2022-05-25 00:00:00,2022-05-26 00:00:00,2022-06-06 00:00:00,2022-06-13 00:00:00,2022-06-14 00:00:00,31.0,2022-06-20 00:00:00,2022-06-22 00:00:00,2022-07-05 00:00:00,2022-07-06 00:00:00,2022-07-07 00:00:00,13,False,NORMAL,True,,ca828b7ed53f42e880ded54cf1c331d3,200,39.81,5.3877,2022-07-08 15:00:00,7962.0,25.12,61.845,1e189e435d4f4f6f9eeef5a14a3b6993,31.4,11.5858,2022-10-11 15:00:00,STOP_LOSS,-1682.0,243.52,-1455.45
2022-10-11 15:00:00,600036.SS,2022-07-14 00:00:00,True,33.43,2022-07-14 00:00:00,2022-07-15 00:00:00,2022-07-22 00:00:00,2022-07-28 00:00:00,2022-07-29 00:00:00,2022-08-01 00:00:00,2022-08-02 00:00:00,2022-08-03 00:00:00,26.34,2022-08-09 00:00:00,2022-08-10 00:00:00,2022-08-16 00:00:00,2022-08-18 00:00:00,2022-08-23 00:00:00,13,False,NORMAL,True,,3865bfdaa936451e92c1c08144b75309,300,32.84,5.4798,2022-08-24 15:00:00,9852.0,24.69,45.065,6eee55ccb7934beeb33f92c07cabb1c9,31.4,14.8788,2022-10-11 15:00:00,STOP_LOSS,-432.0,0.0,-452.36
2022-10-19 00:00:00,000858.SZ,2022-08-29 00:00:00,True,160.2,2022-08-29 00:00:00,2022-08-30 00:00:00,2022-09-02 00:00:00,2022-09-05 00:00:00,2022-09-06 00:00:00,2022-09-22 00:00:00,2022-09-23 00:00:00,2022-09-30 00:00:00,152.45,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-10-12 00:00:00,2022-10-13 00:00:00,2022-10-19 00:00:00,13,True,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-10-25 15:00:00,601318.SS,2022-03-04 00:00:00,True,43.85,2022-03-04 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,2022-03-09 00:00:00,2022-03-10 00:00:00,2022-03-14 00:00:00,2022-03-15 00:00:00,2022-03-16 00:00:00,34.54,2022-03-29 00:00:00,2022-04-11 00:00:00,2022-04-18 00:00:00,2022-04-19 00:00:00,2022-04-20 00:00:00,13,False,NORMAL,True,,1121addc20ff4d64a613422a518d3c83,200,46.22,5.4502,2022-04-21 15:00:00,9244.0,30.26,70.16,7522ee0e99cc4c6ab7185be279b5eead,37.72,12.9114,2022-10-25 15:00:00,STOP_LOSS,-1700.0,382.4,-1335.96
2022-10-25 15:00:00,601318.SS,2022-07-12 00:00:00,True,39.29,2022-07-12 00:00:00,2022-07-13 00:00:00,2022-07-14 00:00:00,2022-07-15 00:00:00,2022-07-21 00:00:00,2022-07-22 00:00:00,2022-07-28 00:00:00,2022-07-29 00:00:00,33.86,2022-08-01 00:00:00,2022-08-02 00:00:00,2022-08-03 00:00:00,2022-08-09 00:00:00,2022-08-10 00:00:00,13,True,NORMAL,True,,b59da9b363104569acc18e19133acbfa,200,41.46,5.4038,2022-08-11 15:00:00,8292.0,31.38,56.58,8eabe041fe904a6084ed142f76dca2e7,37.72,12.9114,2022-10-25 15:00:00,STOP_LOSS,-748.0,144.8,-621.52
2022-10-28 00:00:00,601318.SS,2022-09-28 00:00:00,True,36.71,2022-09-28 00:00:00,2022-09-29 00:00:00,2022-09-30 00:00:00,2022-10-11 00:00:00,2022-10-19 00:00:00,2022-10-20 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,30.34,2022-10-25 00:00:00,,,,,9,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2022-11-14 00:00:00,601318.SS,2022-10-28 00:00:00,True,34.18,2022-10-28 00:00:00,2022-10-31 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2022-11-28 00:00:00,600519.SS,2022-10-20 00:00:00,True,1717.76,2022-10-20 00:00:00,2022-10-21 00:00:00,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-10-26 00:00:00,2022-10-27 00:00:00,2022-10-28 00:00:00,2022-10-31 00:00:00,1176.76,2022-11-09 00:00:00,2022-11-18 00:00:00,2022-11-21 00:00:00,2022-11-22 00:00:00,2022-11-28 00:00:00,13,False,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2022-11-30 00:00:00,000858.SZ,2022-11-01 00:00:00,True,140.03,2022-11-09 00:00:00,2022-11-10 00:00:00,2022-11-21 00:00:00,2022-11-22 00:00:00,2022-11-24 00:00:00,2022-11-25 00:00:00,,,,,,,,,6,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-02-21 00:00:00,000651.SZ,2023-02-08 00:00:00,False,27.44,2023-02-16 00:00:00,2023-02-17 00:00:00,,,,,,,,,,,,,2,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2023-03-17 00:00:00,601318.SS,2023-02-09 00:00:00,False,46.24,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,38.64,2023-03-14 00:00:00,2023-03-16 00:00:00,,,,10,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2023-03-31 15:00:00,600036.SS,2023-02-13 00:00:00,True,34.97,2023-02-13 00:00:00,2023-02-16 00:00:00,2023-02-17 00:00:00,2023-02-24 00:00:00,2023-02-27 00:00:00,2023-02-28 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,29.84,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,2023-03-13 00:00:00,2023-03-14 00:00:00,13,True,NORMAL,True,,3b9d483a272e46aab935999065f22792,200,34.88,5.3397,2023-03-15 15:00:00,6976.0,27.03,46.655,de9d00fac9a84b08875e35cca600731a,34.27,12.1878,2023-03-31 15:00:00,STOP_LOSS,-122.0,0.0,-139.53
2023-04-10 00:00:00,600519.SS,2023-02-07 00:00:00,True,1757.67,2023-02-17 00:00:00,2023-02-23 00:00:00,2023-02-24 00:00:00,2023-03-06 00:00:00,2023-03-07 00:00:00,2023-03-08 00:00:00,2023-03-09 00:00:00,2023-03-10 00:00:00,1598.67,2023-03-17 00:00:00,2023-03-20 00:00:00,2023-04-04 00:00:00,2023-04-06 00:00:00,2023-04-10 00:00:00,13,False,NORMAL,False,ORDER_REJECTED,,,,,,,,,,,,,,,,
2023-04-18 15:00:00,000651.SZ,2022-03-01 00:00:00,True,28.08,2022-03-01 00:00:00,2022-03-03 00:00:00,2022-03-04 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,2022-03-09 00:00:00,2022-03-10 00:00:00,2022-03-14 00:00:00,21.81,2022-03-15 00:00:00,2022-03-16 00:00:00,2022-03-25 00:00:00,2022-03-28 00:00:00,2022-03-29 00:00:00,13,True,NORMAL,True,,e3a37e94b2464ed4933b2879ba22c66f,300,32.07,5.4685,2022-03-30 15:00:00,9621.0,18.13,52.98,4292d4762eab43f68074445bcb7d81b8,40.58,17.7669,2023-04-18 15:00:00,TREND_REVERSAL,2553.0,935.52,3465.28
