event_id,event_datetime,security,type,direction,window,matured_datetime,base_close,end_close,directional_return,mfe,mae
600519SS_2025-05-27T000000_SELL_COUNTDOWN_CANCEL_-1_2025-05-16T000000_0,2025-05-27 00:00:00,600519.SS,SELL_COUNTDOWN_CANCEL,-1,20,2025-06-25 00:00:00,1492.34,1384.3,0.07239637,0.09563504,-0.00743798
000858SZ_2025-05-28T000000_BUY_SETUP_PERFECT_1_2025-05-28T000000_9,2025-05-28 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,20,2025-06-26 00:00:00,121.17,113.98,-0.05933812,0.00519931,-0.08186845
000858SZ_2025-04-01T000000_BUY_SETUP_PERFECT_1_2025-04-01T000000_9,2025-04-01 00:00:00,000858.SZ,BUY_SETUP_PERFECT,1,60,2025-07-01 00:00:00,126.04,112.88,-0.1044113,0.0427642,-0.1173437
600036SS_2025-06-26T000000_SELL_SETUP_PERFECT_-1_2025-06-26T000000_9,2025-06-26 00:00:00,600036.SS,SELL_SETUP_PERFECT,-1,5,2025-07-03 00:00:00,44.87,43.6,0.02830399,0.04702474,0.00022287
600036SS_2025-06-26T000000_SELL_COUNTDOWN_CANCEL_-1_2025-06-13T000000_6,2025-06-26 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,5,2025-07-03 00:00:00,44.87,43.6,0.02830399,0.04702474,0.00022287
601318SS_2025-04-07T000000_SELL_COUNTDOWN_CANCEL_-1_2025-02-19T000000_6,2025-04-07 00:00:00,601318.SS,SELL_COUNTDOWN_CANCEL,-1,60,2025-07-04 00:00:00,46.01,55.62,-0.20886764,0.00999783,-0.22668985
600036SS_2025-04-07T000000_SELL_COUNTDOWN_CANCEL_-1_2025-03-11T000000_4,2025-04-07 00:00:00,600036.SS,SELL_COUNTDOWN_CANCEL,-1,60,2025-07-04 00:00:00,37.82,44.06,-0.16499207,0.01401375,-0.18640931
601318SS_2025-04-10T000000_BUY_SETUP_1_2025-04-10T000000_9,2025-04-10 00:00:00,601318.SS,BUY_SETUP,1,60,2025-07-09 00:00:00,46.93,54.95,0.17089282,0.20264223,-0.01065417
601318SS_2025-06-11T000000_SELL_COUNTDOWN_COMPLETE_-1_2025-04-23T000000_13,2025-06-11 00:00:00,601318.SS,SELL_COUNTDOWN_COMPLETE,-1,20,2025-07-09 00:00:00,51.91,54.95,-0.0585629,0.02581391,-0.08726642
600036SS_2025-06-13T000000_SELL_SETUP_-1_2025-06-13T000000_9,2025-06-13 00:00:00,600036.SS,SELL_SETUP,-1,20,2025-07-11 00:00:00,42.17,44.63,-0.05833531,0.00545411,-0.07991463
000651SZ_2025-07-04T000000_SELL_SETUP_PERFECT_-1_2025-07-04T000000_9,2025-07-04 00:00:00,000651.SZ,SELL_SETUP_PERFECT,-1,5,2025-07-11 00:00:00,43.75,43.96,-0.0048,0.01805714,-0.00937143
000651SZ_2025-07-04T000000_SELL_COUNTDOWN_CANCEL_-1_2025-04-30T000000_12,2025-07-04 00:00:00,000651.SZ,SELL_COUNTDOWN_CANCEL,-1,5,2025-07-11 00:00:00,43.75,43.96,-0.0048,0.01805714,-0.00937143
600519SS_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,600519.SS,BUY_SETUP,1,120,2025-07-14 00:00:00,1384.44,1399.64,0.01097917,0.16034642,-0.02599607
600519SS_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-11-25T000000_10,2025-01-10 00:00:00,600519.SS,BUY_COUNTDOWN_CANCEL,1,120,2025-07-14 00:00:00,1384.44,1399.64,0.01097917,0.16034642,-0.02599607
000858SZ_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,000858.SZ,BUY_SETUP,1,120,2025-07-14 00:00:00,120.27,119.66,-0.00507192,0.14084975,-0.07499792
