event_id,datetime,security,frequency,category,type,direction,count,perfect,reason,setup_type,setup_perfect,setup_first_dt,setup_last_dt,setup_highest_high,tdst_threshold,countdown_start_dt,count_1_dt,count_2_dt,count_3_dt,count_4_dt,count_5_dt,count_6_dt,count_7_dt,count_8_dt,countdown_8_close,count_9_dt,count_10_dt,count_11_dt,count_12_dt,count_13_dt,countdown_low_dt,countdown_low,countdown_low_bar_high,bar_close,bar_high,bar_low,pre20_avg_amount,pre20_volatility,pre20_return
601318SS_2025-11-20T000000_SELL_COUNTDOWN_PROGRESS_-1_2025-10-24T000000_9,2025-11-20 00:00:00,601318.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,9,,,SELL_SETUP,True,2025-10-14 00:00:00,2025-10-24 00:00:00,58.49,54.57,2025-10-24 00:00:00,2025-10-24 00:00:00,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-11-07 00:00:00,2025-11-10 00:00:00,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-13 00:00:00,60.88,2025-11-20 00:00:00,,,,,2025-10-24 00:00:00,57.75,58.49,60.2,61.15,60.03,3709096610.0,0.009692,0.040083
600036SS_2025-11-20T000000_SELL_COUNTDOWN_PROGRESS_-1_2025-10-24T000000_8,2025-11-20 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,8,,,SELL_SETUP,True,2025-10-14 00:00:00,2025-10-24 00:00:00,41.48,38.82,2025-10-24 00:00:00,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-13 00:00:00,2025-11-19 00:00:00,2025-11-20 00:00:00,42.22,,,,,,2025-11-03 00:00:00,40.05,40.96,42.22,42.78,42.04,3084470310.0,0.011671,0.031265
600519SS_2025-11-21T000000_BUY_COUNTDOWN_PROGRESS_1_2025-11-05T000000_4,2025-11-21 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,4,,,BUY_SETUP,True,2025-10-24 00:00:00,2025-11-05 00:00:00,1454.92,1454.92,2025-11-05 00:00:00,2025-11-05 00:00:00,2025-11-14 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,,,,,,,,,,,2025-11-05 00:00:00,1396.05,1407.03,1442.64,1456.04,1432.04,4776402945.0,0.007134,0.01849
600519SS_2025-11-24T000000_BUY_COUNTDOWN_PROGRESS_1_2025-11-05T000000_5,2025-11-24 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,5,,,BUY_SETUP,True,2025-10-24 00:00:00,2025-11-05 00:00:00,1454.92,1454.92,2025-11-05 00:00:00,2025-11-05 00:00:00,2025-11-14 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-24 00:00:00,,,,,,,,,,2025-11-05 00:00:00,1396.05,1407.03,1428.04,1447.04,1427.17,4753864770.0,0.007525,0.004926
600519SS_2025-11-25T000000_BUY_COUNTDOWN_PROGRESS_1_2025-11-05T000000_6,2025-11-25 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,6,,,BUY_SETUP,True,2025-10-24 00:00:00,2025-11-05 00:00:00,1454.92,1454.92,2025-11-05 00:00:00,2025-11-05 00:00:00,2025-11-14 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-24 00:00:00,2025-11-25 00:00:00,,,,,,,,,2025-11-05 00:00:00,1396.05,1407.03,1420.69,1434.04,1420.54,4763670415.0,0.007306,0.009056
600519SS_2025-11-26T000000_BUY_COUNTDOWN_PROGRESS_1_2025-11-05T000000_7,2025-11-26 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,7,,,BUY_SETUP,True,2025-10-24 00:00:00,2025-11-05 00:00:00,1454.92,1454.92,2025-11-05 00:00:00,2025-11-05 00:00:00,2025-11-14 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-24 00:00:00,2025-11-25 00:00:00,2025-11-26 00:00:00,,,,,,,,2025-11-05 00:00:00,1396.05,1407.03,1425.19,1429.53,1419.62,4667172305.0,0.00726,0.015975
601318SS_2025-11-26T000000_SELL_COUNTDOWN_PROGRESS_-1_2025-10-24T000000_10,2025-11-26 00:00:00,601318.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,10,,,SELL_SETUP,True,2025-10-14 00:00:00,2025-10-24 00:00:00,58.49,54.57,2025-10-24 00:00:00,2025-10-24 00:00:00,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-11-07 00:00:00,2025-11-10 00:00:00,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-13 00:00:00,60.88,2025-11-20 00:00:00,2025-11-26 00:00:00,,,,2025-10-24 00:00:00,57.75,58.49,59.78,60.22,59.32,3532816520.0,0.010979,0.019267
600036SS_2025-11-26T000000_SELL_COUNTDOWN_PROGRESS_-1_2025-10-24T000000_9,2025-11-26 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,9,,,SELL_SETUP,True,2025-10-14 00:00:00,2025-10-24 00:00:00,41.48,38.82,2025-10-24 00:00:00,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-13 00:00:00,2025-11-19 00:00:00,2025-11-20 00:00:00,42.22,2025-11-26 00:00:00,,,,,2025-11-03 00:00:00,40.05,40.96,42.24,42.62,41.96,2954807930.0,0.010816,0.051008
600036SS_2025-12-01T000000_SELL_COUNTDOWN_PROGRESS_-1_2025-10-24T000000_10,2025-12-01 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,10,,,SELL_SETUP,True,2025-10-14 00:00:00,2025-10-24 00:00:00,41.48,38.82,2025-10-24 00:00:00,2025-11-03 00:00:00,2025-11-04 00:00:00,2025-11-05 00:00:00,2025-11-11 00:00:00,2025-11-12 00:00:00,2025-11-13 00:00:00,2025-11-19 00:00:00,2025-11-20 00:00:00,42.22,2025-11-26 00:00:00,2025-12-01 00:00:00,,,,2025-11-03 00:00:00,40.05,40.96,42.43,42.46,41.92,2749090240.0,0.00747,0.010238
600519SS_2025-12-02T000000_BUY_COUNTDOWN_PROGRESS_1_2025-11-05T000000_8,2025-12-02 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,8,,,BUY_SETUP,True,2025-10-24 00:00:00,2025-11-05 00:00:00,1454.92,1454.92,2025-11-05 00:00:00,2025-11-05 00:00:00,2025-11-14 00:00:00,2025-11-20 00:00:00,2025-11-21 00:00:00,2025-11-24 00:00:00,2025-11-25 00:00:00,2025-11-26 00:00:00,2025-12-02 00:00:00,1412.07,,,,,,2025-11-05 00:00:00,1396.05,1407.03,1412.07,1427.96,1411.06,4343941490.0,0.007299,0.011425
