datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_order_id,buy_quantity,buy_price,buy_commission,buy_date,entry_value,stop_loss_price,take_profit_price,sell_order_id,sell_price,sell_commission,sell_date,sell_reason,price_pnl,dividend_income,pnl
2023-04-18 15:00:00,000651.SZ,2022-03-01 00:00:00,True,28.08,2022-03-01 00:00:00,2022-03-03 00:00:00,2022-03-04 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,2022-03-09 00:00:00,2022-03-10 00:00:00,2022-03-14 00:00:00,21.81,2022-03-15 00:00:00,2022-03-16 00:00:00,2022-03-25 00:00:00,2022-03-28 00:00:00,2022-03-29 00:00:00,13,True,NORMAL,True,,e3a37e94b2464ed4933b2879ba22c66f,300,32.07,5.4685,2022-03-30 15:00:00,9621.0,18.13,52.98,4292d4762eab43f68074445bcb7d81b8,40.58,17.7669,2023-04-18 15:00:00,TREND_REVERSAL,2553.0,935.52,3465.28
2023-04-18 15:00:00,000651.SZ,2022-09-28 00:00:00,True,27.33,2022-09-29 00:00:00,2022-09-30 00:00:00,2022-10-10 00:00:00,2022-10-11 00:00:00,2022-10-13 00:00:00,2022-10-19 00:00:00,2022-10-20 00:00:00,2022-10-21 00:00:00,22.29,2022-10-24 00:00:00,2022-10-25 00:00:00,2022-10-31 00:00:00,2022-11-01 00:00:00,2022-11-21 00:00:00,13,False,NORMAL,True,,0cb32b5e31e848e0afe2172b8bebd600,300,31.29,5.4571,2022-11-22 15:00:00,9387.0,18.73,50.13,acd4f56023f448d08215d344ab8a2e3e,40.58,17.7669,2023-04-18 15:00:00,TREND_REVERSAL,2787.0,239.04,3002.82
2023-06-14 00:00:00,000651.SZ,2023-05-11 00:00:00,True,33.33,2023-05-11 00:00:00,2023-05-16 00:00:00,2023-05-24 00:00:00,2023-05-25 00:00:00,2023-05-26 00:00:00,2023-05-30 00:00:00,2023-05-31 00:00:00,2023-06-01 00:00:00,25.21,,,,,,8,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2023-09-06 00:00:00,000651.SZ,2023-08-15 00:00:00,True,31.76,2023-08-15 00:00:00,2023-08-21 00:00:00,2023-08-22 00:00:00,2023-08-23 00:00:00,,,,,,,,,,,4,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,,,,,,,
2023-11-17 00:00:00,000651.SZ,2023-10-18 00:00:00,True,30.53,2023-10-18 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-11-07 00:00:00,2023-11-08 00:00:00,2023-11-10 00:00:00,2023-11-13 00:00:00,26.25,2023-11-14 00:00:00,,,,,9,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2024-01-16 00:00:00,000651.SZ,2023-11-17 00:00:00,False,27.7,2023-11-17 00:00:00,2023-12-01 00:00:00,2023-12-20 00:00:00,2023-12-21 00:00:00,2024-01-03 00:00:00,2024-01-04 00:00:00,,,,,,,,,6,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2024-04-29 00:00:00,000651.SZ,2024-03-22 00:00:00,False,34.14,2024-04-08 00:00:00,2024-04-09 00:00:00,2024-04-10 00:00:00,2024-04-11 00:00:00,2024-04-23 00:00:00,2024-04-24 00:00:00,,,,,,,,,6,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2024-11-25 00:00:00,000651.SZ,2024-11-06 00:00:00,True,43.39,2024-11-06 00:00:00,2024-11-12 00:00:00,2024-11-15 00:00:00,2024-11-18 00:00:00,2024-11-21 00:00:00,2024-11-22 00:00:00,,,,,,,,,6,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
2024-12-23 00:00:00,000651.SZ,2024-11-25 00:00:00,True,40.45,2024-11-25 00:00:00,2024-11-26 00:00:00,2024-12-16 00:00:00,,,,,,,,,,,,3,,CANCEL_BY_TDST_RULE_4,False,,,,,,,,,,,,,,,,,
2025-04-22 15:00:00,000651.SZ,2024-06-20 00:00:00,True,35.3,2024-06-20 00:00:00,2024-06-27 00:00:00,2024-06-28 00:00:00,2024-07-01 00:00:00,2024-07-02 00:00:00,2024-07-03 00:00:00,2024-07-04 00:00:00,2024-07-05 00:00:00,31.38,2024-07-17 00:00:00,2024-07-23 00:00:00,2024-07-24 00:00:00,2024-07-25 00:00:00,2024-08-07 00:00:00,13,False,NORMAL,True,,1dc0e025749f4157894208898d67658b,200,40.48,5.3943,2024-08-08 15:00:00,8096.0,29.59,56.815,46179b964cc8460fb050b741e8bf6d61,45.55,14.5537,2025-04-22 15:00:00,TREND_REVERSAL,1014.0,373.28,1367.33
2025-09-24 00:00:00,000651.SZ,2025-09-10 00:00:00,False,42.38,2025-09-10 00:00:00,2025-09-12 00:00:00,2025-09-15 00:00:00,2025-09-16 00:00:00,2025-09-18 00:00:00,2025-09-22 00:00:00,2025-09-23 00:00:00,,,,,,,,7,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,,,,,,,
